D2,D3,D4,D5,D6,BI1,BI2,BI3,BI4,BI5,PE1,PE2,PE3,PE4,PE5,PE6,SN1,SN2,SN3,SN4,SN5,SN6,SN7,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,Column,meanA,meanB,meanBI,meanPE,meanSN,meanTotal,5,7,1,3,4,Extreme,Neutral
19,Vrouw,HBO,Ravenswoud,Landelijk,4,5,3,4,4,4,4,4,4,3,4,2,4,4,4,2,2,2,4,4,4,4,4,3,4,2,2,4,4,2,5,3.857142857142857,2.8,4.0,3.8333333333333335,2.857142857142857,5.906802721088435,2,0,0,3,20,2.0,3.0
21,Vrouw,WO Master,Heerenveen,Stedelijk,3,4,3,2,2,4,4,4,4,4,4,4,4,4,2,4,2,2,2,4,4,4,4,4,4,5,2,5,3,3,5,3.7142857142857144,3.6,2.8,4.0,3.142857142857143,6.179591836734694,3,0,0,5,18,3.0,5.0
21,Vrouw,WO Bachelor,Groningen,Stedelijk,2,5,2,2,2,1,4,4,4,4,3,2,1,1,2,3,3,2,2,1,4,4,4,4,3,5,2,1,1,,5,3.142857142857143,2.25,2.6,3.3333333333333335,2.0,5.618027210884354,3,0,6,5,8,9.0,5.0
23,Vrouw,HBO,Haarlem,Stedelijk,4,5,2,4,2,4,4,4,5,2,4,2,4,2,4,2,2,1,4,4,4,5,2,4,2,5,5,5,2,5,5,3.5714285714285716,4.4,3.4,3.8333333333333335,2.4285714285714284,6.51904761904762,8,0,1,0,12,9.0,0.0
22,Vrouw,WO Bachelor,Den Bosch,Stedelijk,4,4,2,5,5,5,5,5,2,5,5,2,4,4,3,3,3,3,5,5,2,4,4,3,3,4,2,4,3,2,5,3.7142857142857144,3.0,4.0,4.5,3.142857142857143,6.479591836734694,10,0,0,8,9,10.0,8.0
25,Vrouw,WO Bachelor,Jubbega,Landelijk,2,5,2,3,2,4,2,4,4,3,2,3,4,2,4,2,4,2,3,2,3,4,2,4,2,4,2,4,3,3,5,2.857142857142857,3.2,2.8,3.1666666666666665,3.0,6.431972789115646,2,0,0,8,10,2.0,8.0
19,Man,WO Bachelor,Groningen,Stedelijk,2,5,2,2,3,4,3,4,3,4,3,5,2,2,3,4,3,4,3,4,3,5,2,2,3,4,3,4,3,4,5,3.142857142857143,3.6,2.8,3.5,3.2857142857142856,5.761224489795919,4,0,0,11,10,4.0,11.0
25,Man,WO Master,Groningen,Stedelijk,6,6,6,6,6,3,5,6,3,2,5,3,6,6,5,6,6,6,6,6,2,2,3,3,6,6,3,6,6,5,7,2.857142857142857,3.7142857142857144,4.285714285714286,2.857142857142857,3.8775510204081636,5.778425655976677,4,1,1,6,1,2.0,1.0
20,Vrouw,HBO,Groningen,Stedelijk,5,7,6,6,5,3,7,5,6,6,6,5,7,7,6,7,7,7,,7,5,6,6,7,6,7,6,3,3,7,7,4.404761904761905,3.7142857142857144,4.142857142857143,3.928571428571429,4.6938775510204085,5.738581146744412,5,12,0,3,0,12.0,0.0
21,Vrouw,HBO,Smilde,Landelijk,4,6,3,6,5,5,7,6,6,2,6,2,6,4,7,6,6,5,6,6,4,6,4,5,6,2,7,5,3,6,7,3.7755102040816326,3.2857142857142856,3.4285714285714284,3.8095238095238093,3.6734693877551026,5.424684159378037,5,4,0,2,5,4.0,5.0
24,Man,WO Master,Groningen,Stedelijk,5,6,4,5,5,3,5,5,4,3,5,5,6,6,7,6,6,6,6,7,6,6,7,6,6,7,3,5,6,5,7,4.489795918367347,3.7142857142857144,3.5714285714285716,2.9761904761904763,4.285714285714286,5.882896015549077,9,5,0,3,2,5.0,2.0
20,Man,WO Bachelor,Assen,Stedelijk,6,7,5,6,6,5,6,6,4,4,6,4,6,6,6,6,5,4,6,3,3,5,2,6,6,6,2,6,3,3,7,3.163265306122449,2.857142857142857,4.285714285714286,3.6904761904761907,3.7755102040816326,5.293974732750243,4,2,0,4,6,2.0,6.0
20,Vrouw,HBO,Assen,Stedelijk,6,7,2,5,3,1,6,6,3,1,5,2,7,3,4,6,6,3,3,7,7,6,4,5,7,5,3,6,,7,7,3.9795918367346936,3.75,3.2857142857142856,2.619047619047619,3.163265306122449,5.154761904761905,4,7,2,6,3,9.0,3.0
25,Man,HBO,Utrecht,Stedelijk,2,5,2,2,2,3,6,6,6,6,4,4,7,6,6,5,5,2,5,6,5,6,5,2,6,2,2,6,2,6,7,3.5714285714285716,2.5714285714285716,1.8571428571428572,3.6904761904761907,3.5714285714285716,5.445578231292518,6,2,0,1,2,2.0,2.0
24,Man,WO Master,Utrecht,Stedelijk,6,7,5,3,5,2,6,6,6,6,6,5,6,6,7,5,7,6,6,7,3,5,5,6,5,2,5,2,2,6,7,3.7755102040816326,2.4285714285714284,3.7142857142857144,3.8095238095238093,4.285714285714286,5.736637512147716,8,5,0,2,0,5.0,0.0
25,Man,HBO,Assen,Stedelijk,1,1,1,1,1,1,5,5,4,4,3,3,7,7,7,2,7,7,1,7,7,7,7,7,7,1,1,7,1,7,7,4.387755102040817,2.4285714285714284,0.7142857142857143,2.619047619047619,4.081632653061225,5.298347910592809,2,14,10,2,2,24.0,2.0
26,Vrouw,WO Master,Kerkdriel,Landelijk,3,5,2,5,7,7,3,3,5,4,5,5,7,7,7,5,5,5,7,5,5,3,3,1,3,6,6,2,7,1,7,2.7551020408163267,3.1428571428571432,3.1428571428571432,3.2142857142857144,4.183673469387755,5.715743440233235,10,8,2,6,1,10.0,1.0
18,Vrouw,,Assen,Stedelijk,3,6,2,5,5,2,6,5,4,3,3,3,7,6,6,5,7,7,6,7,5,7,5,6,6,5,2,6,2,6,7,4.285714285714286,3.0,3.0,2.738095238095238,4.183673469387755,5.009232264334306,7,7,0,6,1,7.0,1.0
21,Man,WO Bachelor,Delft,Stedelijk,5,7,2,5,6,5,6,5,5,2,5,2,7,6,7,3,6,6,7,2,5,5,3,2,6,5,7,3,3,2,7,3.061224489795918,2.857142857142857,3.5714285714285716,3.3333333333333335,3.7755102040816326,5.228377065111759,9,6,0,4,1,6.0,1.0
20,Vrouw,WO Bachelor,Groningen,Stedelijk,2,7,2,2,2,3,7,6,5,4,5,3,5,5,7,7,7,5,2,7,5,7,6,6,7,2,2,7,5,6,7,4.081632653061225,3.1428571428571432,2.142857142857143,3.5714285714285716,3.9795918367346936,5.17201166180758,7,11,0,2,1,11.0,1.0
24,Man,HBO,Arnhem,Stedelijk,2,6,3,4,3,5,4,4,2,1,2,1,5,3,6,7,5,3,4,4,2,4,2,2,4,5,4,4,5,3,7,2.2448979591836733,3.0,2.5714285714285716,2.142857142857143,3.061224489795918,5.023323615160351,5,2,2,6,9,4.0,9.0
25,Man,WO Bachelor,,Stedelijk,7,6,2,6,7,4,6,5,6,5,4,2,7,7,6,1,6,6,6,6,6,6,6,6,6,2,4,6,5,6,7,4.285714285714286,3.2857142857142856,4.0,3.5714285714285716,3.5714285714285716,5.938775510204082,3,5,1,1,4,6.0,4.0
26,Vrouw,WO Master,De granatenghetto genaamd Kerkdriel,Landelijk,6,6,6,5,6,3,6,4,4,5,6,5,6,6,6,4,6,6,7,6,5,4,4,4,6,4,3,6,3,6,7,3.6734693877551026,3.1428571428571432,4.142857142857143,3.3333333333333335,3.9795918367346936,5.977648202137997,4,2,0,3,8,2.0,8.0
24,Vrouw,WO Master,Den Bosch,Stedelijk,4,5,5,4,4,4,5,4,4,4,4,4,6,6,5,5,5,5,5,5,4,5,5,5,4,4,4,4,5,4,7,3.36734693877551,3.0,3.1428571428571432,2.9761904761904763,3.6734693877551026,5.471817298347911,13,1,1,1,15,2.0,15.0
20,Vrouw,HBO,,Landelijk,2,6,1,4,4,2,5,5,3,4,2,2,6,6,4,6,5,5,5,2,6,7,2,2,6,6,2,6,2,6,7,3.061224489795918,3.1428571428571432,2.4285714285714284,2.5,3.4693877551020407,4.841107871720116,5,2,1,1,4,3.0,4.0
20,Vrouw,WO Bachelor,Oosterwolde,Landelijk,5,7,5,6,6,5,7,7,5,3,5,2,7,7,6,6,6,6,6,3,5,4,4,3,7,6,6,4,5,4,7,3.2653061224489797,3.5714285714285716,4.142857142857143,3.8095238095238093,4.081632653061225,5.450923226433431,7,8,0,3,4,8.0,4.0
20,Vrouw,HBO,Akkrum,Landelijk,2,6,1,2,2,5,4,6,4,3,5,5,6,3,6,6,6,5,3,7,5,6,4,4,3,1,1,7,2,6,7,3.2653061224489797,2.4285714285714284,1.8571428571428572,3.2142857142857144,3.7755102040816326,4.832361516034985,5,3,3,6,4,6.0,4.0
25,Vrouw,WO Bachelor,Den Bosch,Landelijk,3,3,2,4,4,4,7,6,3,2,4,4,6,6,5,6,5,5,5,4,4,5,4,4,5,3,4,4,5,5,7,3.163265306122449,3.0,2.285714285714286,3.095238095238095,3.7755102040816326,5.453838678328475,8,2,0,5,11,2.0,11.0
20,Vrouw,HBO,Haulerwijk,Landelijk,5,7,2,5,4,2,5,5,2,4,3,3,6,7,5,5,7,6,4,3,3,6,4,4,6,6,3,6,2,6,7,3.061224489795918,3.2857142857142856,3.2857142857142856,2.5,3.9795918367346936,5.056851311953353,6,4,0,5,6,4.0,6.0
21,Man,,,Stedelijk,5,6,2,2,5,5,6,4,4,4,5,4,6,2,7,3,6,4,6,2,2,2,2,2,6,6,6,2,7,2,7,2.2448979591836733,3.2857142857142856,2.857142857142857,3.3333333333333335,3.2653061224489797,4.998056365403304,4,3,0,2,6,3.0,6.0
20,Vrouw,HBO,Makkinga,Landelijk,2,5,2,3,3,3,6,3,5,2,5,2,7,3,5,1,6,6,3,7,6,6,6,6,5,4,6,5,6,3,7,3.9795918367346936,3.4285714285714284,2.142857142857143,2.857142857142857,3.061224489795918,4.965014577259475,6,3,1,8,1,4.0,1.0
21,Man,WO Bachelor,Bûtenpost,Landelijk,5,6,4,5,5,5,4,5,4,4,4,4,6,4,6,6,5,5,5,6,6,6,6,5,5,6,4,6,4,5,7,3.9795918367346936,3.5714285714285716,3.5714285714285716,3.095238095238095,3.6734693877551026,5.413022351797863,11,1,1,0,9,2.0,9.0
22,Man,HBO,Buitenpost,Landelijk,5,6,4,4,6,5,6,6,4,4,4,4,4,6,4,6,5,5,5,4,4,6,4,4,4,4,4,4,4,4,7,3.163265306122449,2.857142857142857,3.5714285714285716,3.452380952380952,3.4693877551020407,5.318270165208941,5,1,1,0,18,2.0,18.0
23,Man,WO Bachelor,,Landelijk,4,5,6,5,4,5,4,6,3,3,3,3,5,4,5,4,5,5,5,6,5,6,4,6,5,5,4,4,4,4,7,3.7755102040816326,3.0,3.4285714285714284,2.857142857142857,3.163265306122449,5.3790087463556855,11,1,1,5,10,2.0,10.0
26,Vrouw,WO Master,Den Haag,Stedelijk,3,5,3,3,3,4,5,5,4,4,4,4,5,5,4,5,4,4,5,4,4,3,4,2,3,4,4,4,6,2,7,2.5510204081632657,2.857142857142857,2.4285714285714284,3.095238095238095,3.163265306122449,5.380952380952381,7,2,0,6,14,2.0,14.0
25,Man,HBO,,Landelijk,3,6,1,1,1,6,7,6,2,2,4,4,5,5,4,6,4,4,4,4,4,3,4,2,4,4,4,4,6,3,7,2.5510204081632657,3.0,1.7142857142857142,3.2142857142857144,3.2653061224489797,5.228862973760933,2,2,3,5,13,5.0,13.0
20,Man,WO Bachelor,Donkerbroek city,Donkerbroek city,3,7,2,1,5,5,6,3,1,1,3,1,7,5,5,3,5,6,6,6,2,5,3,2,6,2,5,5,6,4,7,3.061224489795918,3.1428571428571432,2.5714285714285716,2.261904761904762,3.2653061224489797,4.798347910592808,8,3,4,6,2,7.0,2.0
25,"Anders, namelijk",WO Master,Amsterdam,Amsterdam,2,7,4,5,5,6,7,6,3,1,5,5,7,5,6,6,6,6,6,5,5,5,5,6,6,6,6,6,3,6,7,3.8775510204081636,3.8571428571428577,3.2857142857142856,3.3333333333333335,4.183673469387755,5.913508260447035,9,4,1,2,2,5.0,2.0
25,"Anders, namelijk",HBO,Geldrop,Geldrop,5,7,4,6,5,5,5,5,5,5,5,5,6,7,7,6,6,6,6,6,6,6,6,5,6,6,5,6,6,7,7,4.183673469387755,4.285714285714286,3.8571428571428577,3.5714285714285716,4.387755102040817,6.163265306122449,11,5,0,0,1,5.0,1.0
20,Man,WO Bachelor,Deurze,Deurze,5,7,2,5,3,5,5,3,3,2,5,2,6,4,6,6,6,6,6,4,3,6,4,5,5,6,7,3,6,4,7,3.36734693877551,3.7142857142857144,3.1428571428571432,2.738095238095238,3.6734693877551026,5.131681243926143,7,4,0,5,5,4.0,5.0
21,Vrouw,WO Bachelor,,,5,5,4,6,6,5,6,5,6,5,4,3,3,3,5,7,6,6,7,5,5,6,5,5,5,4,5,6,5,5,7,3.8775510204081636,3.5714285714285716,3.7142857142857144,3.6904761904761907,3.36734693877551,5.460155490767736,14,3,0,4,4,3.0,4.0
20,Vrouw,HBO,Jubbega,Jubbega,2,7,4,4,2,3,5,4,5,4,4,3,7,4,4,5,5,5,3,6,6,6,4,6,6,2,2,6,4,4,7,3.7755102040816326,2.5714285714285716,2.7142857142857144,2.9761904761904763,3.36734693877551,4.9557823129251695,5,3,0,4,11,3.0,11.0
20,Vrouw,WO Bachelor,Oudehorne,Oudehorne,5,7,2,5,6,4,6,6,5,3,2,2,7,6,3,5,5,5,6,6,5,6,6,5,6,2,2,6,5,3,7,4.081632653061225,2.5714285714285716,3.5714285714285716,3.095238095238095,3.36734693877551,5.1389698736637515,9,3,0,4,2,3.0,2.0
19,Man,WO Bachelor,,,3,7,4,3,4,6,5,3,5,2,5,2,6,7,6,4,3,4,7,6,3,2,3,4,7,6,5,4,1,6,7,3.2653061224489797,3.1428571428571432,3.0,3.095238095238095,3.2653061224489797,4.905733722060253,4,5,1,7,7,6.0,7.0
22,Vrouw,HBO,Heerenveen,Heerenveen,5,7,3,5,5,5,7,6,5,5,4,3,7,5,6,5,6,7,7,5,5,3,3,3,6,5,5,5,6,5,7,3.2653061224489797,3.7142857142857144,3.5714285714285716,3.8095238095238093,3.9795918367346936,5.579203109815356,14,6,0,5,1,6.0,1.0
24,Man,WO Master,Amsterdam,Amsterdam,6,7,6,6,6,4,6,6,6,2,6,2,6,6,7,6,6,7,7,6,4,5,6,6,6,3,2,6,5,6,7,4.081632653061225,3.1428571428571432,4.428571428571429,3.5714285714285716,4.081632653061225,5.92128279883382,2,5,0,1,2,5.0,2.0
21,Man,HBO,Beilen,Beilen,4,7,4,7,7,2,6,2,2,2,2,2,7,7,6,2,7,7,7,6,6,7,7,7,7,1,2,7,2,7,7,4.795918367346939,2.7142857142857144,4.142857142857143,1.9047619047619047,3.8775510204081636,5.347910592808551,0,15,1,0,2,16.0,2.0
20,Vrouw,HBO,Terschelling en Zwolle,Terschelling en Zwolle,5,6,4,5,5,3,6,2,6,2,6,3,6,5,6,6,5,6,4,6,4,5,4,5,3,1,5,3,5,4,7,3.163265306122449,2.5714285714285716,3.5714285714285716,2.9761904761904763,3.7755102040816326,5.049076773566569,9,1,2,4,6,3.0,6.0
26,Man,WO Master,Amsterdam,Amsterdam,4,7,2,4,1,7,1,1,5,2,5,2,7,7,3,7,4,6,5,1,5,5,4,3,7,7,7,1,7,1,7,3.061224489795918,3.2857142857142856,2.5714285714285716,2.5,3.6734693877551026,5.523323615160351,5,10,6,2,4,16.0,4.0
20,Vrouw,HBO,Groningen,Groningen,3,7,2,4,3,2,5,3,2,2,2,2,5,6,7,3,6,7,5,7,5,5,4,5,3,5,6,3,6,3,7,3.4693877551020407,3.2857142857142856,2.7142857142857144,1.9047619047619047,3.6734693877551026,4.904761904761904,7,6,0,7,2,6.0,2.0
20,Vrouw,HBO,Bovensmilde,Bovensmilde,5,6,2,4,6,5,5,4,4,4,5,2,6,3,5,6,4,4,6,6,4,4,4,4,6,2,6,3,2,6,7,3.4693877551020407,2.7142857142857144,3.2857142857142856,3.2142857142857144,3.061224489795918,5.004373177842566,5,1,1,2,10,2.0,10.0
20,Man,HBO,Assen,Assen,5,5,4,5,5,2,6,3,5,3,5,2,7,7,7,2,6,6,6,6,5,7,6,6,5,4,6,6,6,6,7,4.183673469387755,4.0,3.4285714285714284,2.857142857142857,3.7755102040816326,5.3615160349854225,8,5,0,2,3,5.0,3.0
20,Man,WO Bachelor,Assen,Assen,7,7,5,6,6,5,6,6,4,4,5,5,6,6,5,7,5,6,6,3,3,5,4,4,7,5,2,6,6,6,7,3.2653061224489797,3.5714285714285716,4.428571428571429,3.5714285714285716,4.081632653061225,5.457725947521866,8,5,0,2,4,5.0,4.0
21,Man,WO Bachelor,,,2,6,1,1,4,3,6,5,2,1,2,1,4,6,2,6,4,3,5,6,3,2,3,2,5,6,5,5,6,3,7,2.653061224489796,3.5714285714285716,2.0,2.261904761904762,2.653061224489796,4.734207968901846,5,1,5,5,3,6.0,3.0
26,Man,HBO,Arnhem,Arnhem,5,7,2,6,6,5,3,2,3,2,4,4,7,6,7,2,7,7,7,5,5,6,3,3,6,1,5,6,1,7,7,3.5714285714285716,2.857142857142857,3.7142857142857144,2.261904761904762,4.081632653061225,5.722546161321672,5,8,2,4,3,10.0,3.0
24,Zeg ik liever niet,HBO,Leeuwarden,Leeuwarden,5,7,2,4,5,3,5,2,2,3,3,3,4,5,7,5,5,5,7,5,3,1,3,2,6,6,6,2,3,5,7,2.7551020408163267,3.1428571428571432,3.2857142857142856,2.142857142857143,3.4693877551020407,5.276967930029154,9,4,1,7,3,5.0,3.0
22,Man,HBO,Veldhoven,Veldhoven,2,6,2,2,2,6,6,6,2,2,6,5,6,6,6,6,5,5,4,6,6,6,3,3,6,2,2,6,1,7,7,3.4693877551020407,2.5714285714285716,2.0,3.3333333333333335,3.9795918367346936,5.152575315840621,3,2,1,3,1,3.0,1.0
20,Vrouw,WO Bachelor,Assen,Assen,2,7,2,3,2,6,6,6,3,2,3,2,6,3,1,3,5,4,4,7,1,6,3,5,6,6,3,6,7,2,7,3.2653061224489797,3.4285714285714284,2.285714285714286,3.095238095238095,2.4489795918367347,4.829931972789116,2,4,2,7,3,6.0,3.0
20,Man,WO Bachelor,Hengelo,Hengelo,4,7,2,5,4,6,7,6,2,2,3,3,7,7,5,5,5,7,7,6,3,6,3,5,5,5,5,6,4,5,7,3.5714285714285716,3.5714285714285716,3.1428571428571432,3.095238095238095,3.9795918367346936,5.235179786200194,9,7,0,4,4,7.0,4.0
20,Vrouw,WO Bachelor,,,2,7,3,4,4,5,6,4,5,2,5,2,7,7,6,5,6,6,5,7,5,6,5,5,6,4,2,6,4,4,7,3.9795918367346936,2.857142857142857,2.857142857142857,3.2142857142857144,3.9795918367346936,5.167638483965014,8,5,0,1,6,5.0,6.0
23,Vrouw,WO Bachelor,Groningen,Groningen,4,7,4,5,5,6,7,5,5,5,3,3,7,3,7,5,6,6,5,6,3,7,3,6,6,3,2,7,5,6,7,3.6734693877551026,3.2857142857142856,3.5714285714285716,3.6904761904761907,3.7755102040816326,5.632167152575316,8,7,0,6,2,7.0,2.0
23,Man,WO Master,Jubbega,Jubbega,5,5,2,2,2,3,4,6,5,2,4,4,2,3,2,2,1,5,6,1,1,5,1,6,5,5,3,2,6,5,7,2.5510204081632657,3.0,2.285714285714286,2.857142857142857,1.9387755102040818,4.865889212827989,8,1,5,4,4,6.0,4.0
25,Man,WO Bachelor,Zwolle,Zwolle,5,7,3,7,7,2,5,5,6,5,3,2,7,7,6,2,7,6,6,6,6,6,6,6,6,2,2,7,4,6,7,4.285714285714286,3.0,4.142857142857143,3.095238095238095,3.7755102040816326,5.8794946550048595,4,8,0,3,2,8.0,2.0
20,Vrouw,HBO,,,5,3,4,5,5,4,5,5,4,3,4,4,6,6,6,3,6,6,6,5,4,6,6,6,6,3,2,6,2,6,7,3.9795918367346936,2.7142857142857144,3.1428571428571432,2.9761904761904763,3.7755102040816326,5.124878522837705,6,1,1,4,7,2.0,7.0
20,Man,WO Bachelor,Enschede,Enschede,3,7,2,5,5,6,6,5,5,3,5,2,7,6,7,7,6,6,3,2,5,6,3,3,6,5,6,6,6,3,7,2.857142857142857,3.7142857142857144,3.1428571428571432,3.5714285714285716,4.183673469387755,5.2507288629737605,7,6,0,6,0,6.0,0.0
20,Vrouw,HBO,,,1,7,1,4,4,2,5,5,5,5,5,5,6,5,6,7,5,4,4,7,6,6,6,5,6,4,5,6,6,4,7,4.081632653061225,3.5714285714285716,2.4285714285714284,3.2142857142857144,3.8775510204081636,5.208454810495628,10,4,2,0,7,6.0,7.0
22,Vrouw,WO Bachelor,Heerenveen,Heerenveen,6,7,5,6,6,4,3,3,6,5,5,3,4,2,5,6,4,3,5,7,5,5,4,4,6,4,3,5,5,5,7,3.6734693877551026,3.1428571428571432,4.285714285714286,3.095238095238095,2.7551020408163267,5.380952380952381,10,3,0,6,6,3.0,6.0
25,Man,WO Master,Amsterdam,Amsterdam,7,7,6,7,6,6,6,5,4,5,5,5,5,6,6,7,6,3,6,6,2,5,3,4,6,1,1,7,3,5,7,3.2653061224489797,2.4285714285714284,4.714285714285714,3.6904761904761907,3.8775510204081636,5.833333333333333,7,7,2,3,2,9.0,2.0
