D2,D3,D4,D5,D6,BI1,BI2,BI3,BI4,BI5,PE1,PE2,PE3,PE4,PE5,PE6,SN1,SN2,SN3,SN4,SN5,SN6,SN7,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,Column
2002,Man,WO Master,Groningen,Stedelijk,Eens,Helemaal eens,Oneens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Neutraal,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Helemaal Eens,Eens,Eens,Eens,Eens,5
2002,Man,HBO,Doetinchem,Stedelijk,Eens,Helemaal eens,Neutraal,Neutraal,Neutraal,Eens,Eens,Eens,Eens,Helemaal Eens,Helemaal Eens,Oneens,Eens,Neutraal,Eens,Neutraal,Eens,Neutraal,Neutraal,Neutraal,Eens,Eens,Eens,Eens,Helemaal Eens,Oneens,Oneens,Oneens,Neutraal,Neutraal,5
2002,Man,WO Bachelor,Amsterdam,Stedelijk,Helemaal oneens,Helemaal eens,Helemaal oneens,Eens,Neutraal,Eens,Eens,Eens,Eens,Eens,Eens,Oneens,Eens,Eens,Oneens,Oneens,Neutraal,Eens,Eens,Neutraal,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,5
2003,Man,WO Bachelor,Huis ter Heide,Landelijk,Oneens,Helemaal eens,Helemaal oneens,Neutraal,Oneens,Eens,Eens,Eens,Eens,Eens,Neutraal,Eens,Eens,Eens,Eens,Oneens,Eens,Helemaal oneens,Neutraal,Oneens,Eens,Eens,Eens,Eens,Eens,Oneens,Neutraal,Neutraal,Neutraal,Oneens,5
2003,Vrouw,WO Master,Leiden,Stedelijk,Neutraal,Helemaal eens,Neutraal,Oneens,Neutraal,Helemaal Eens,Eens,Helemaal Eens,Eens,Eens,Eens,Oneens,Eens,Oneens,Oneens,Oneens,Neutraal,Neutraal,Oneens,Neutraal,Helemaal Eens,Eens,Helemaal Eens,Eens,Eens,Helemaal Eens,Eens,Eens,Eens,Eens,5
1979,Vrouw,WO Master,Makkinga,Landelijk,Oneens,Eens,Oneens,Oneens,Oneens,Eens,Oneens,Eens,Oneens,Eens,Eens,Eens,Helemaal eens,Eens,Eens,Oneens,Eens,Oneens,Oneens,Oneens,Eens,Oneens,Eens,Oneens,Eens,Helemaal Eens,Neutraal,Oneens,Neutraal,Neutraal,5
2002,Vrouw,WO Master,Smilde,Stedelijk,Eens,Helemaal eens,Eens,Eens,Eens,Eens,Oneens,Eens,Eens,Eens,Eens,Eens,Eens,Oneens,Oneens,Oneens,Oneens,Oneens,Eens,Eens,Eens,Oneens,Eens,Eens,Eens,Oneens,Oneens,Eens,Eens,Oneens,5
2003,Vrouw,HBO,Utrecht,Stedelijk,Helemaal eens,Helemaal eens,Eens,Helemaal eens,Eens,Helemaal Eens,Helemaal Eens,Eens,Eens,Eens,Eens,Oneens,Eens,Eens,Neutraal,Oneens,Neutraal,Neutraal,Helemaal eens,Eens,Helemaal Eens,Helemaal Eens,Eens,Eens,Eens,Oneens,Neutraal,Helemaal oneens,Oneens,Oneens,5
1997,Vrouw,WO Master,Groningen,Stedelijk,Neutraal,Helemaal eens,Neutraal,Eens,Eens,Eens,Neutraal,Helemaal Eens,Neutraal,Eens,Helemaal Eens,Oneens,Eens,Eens,Neutraal,Neutraal,Eens,Oneens,Eens,Eens,Eens,Neutraal,Helemaal Eens,Neutraal,Eens,Eens,Eens,Eens,Eens,Eens,5
2002,Man,HBO,Utrecht,Stedelijk,Oneens,Eens,Oneens,Eens,Neutraal,Eens,Oneens,Eens,Oneens,Eens,Eens,Helemaal oneens,Eens,Eens,Neutraal,Eens,Neutraal,Oneens,Eens,Neutraal,Eens,Oneens,Eens,Oneens,Eens,Eens,Helemaal Eens,Helemaal Eens,Neutraal,Eens,5
2002,Vrouw,WO Bachelor,Assen,Stedelijk,Eens,Eens,Helemaal oneens,Neutraal,Neutraal,Eens,Oneens,Helemaal oneens,Neutraal,Eens,Neutraal,Oneens,Eens,Eens,Eens,Neutraal,Eens,Neutraal,Neutraal,Neutraal,Eens,Oneens,Helemaal oneens,Neutraal,Eens,Helemaal Eens,Eens,Eens,Neutraal,Neutraal,5
2001,Vrouw,WO Bachelor,Jubbega,Landelijk,Eens,Eens,Oneens,Neutraal,Neutraal,Eens,Neutraal,Eens,Neutraal,Eens,Eens,Helemaal oneens,Neutraal,Oneens,Oneens,Neutraal,Oneens,Helemaal oneens,Neutraal,Neutraal,Eens,Neutraal,Eens,Neutraal,Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,5
2002,Man,HBO,"Växjö, Zweden",Stedelijk,Helemaal oneens,Neutraal,Helemaal oneens,Helemaal eens,Helemaal eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Neutraal,Helemaal Eens,Helemaal Eens,Oneens,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Helemaal eens,Helemaal eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Neutraal,Helemaal Eens,Neutraal,Eens,Eens,Eens,Eens,5
2002,Man,HBO,Den Haag,Stedelijk,Eens,Neutraal,Eens,Oneens,Eens,Neutraal,Helemaal Eens,Helemaal Eens,Eens,Helemaal Eens,Neutraal,Eens,Eens,Eens,Neutraal,Eens,Neutraal,Oneens,Oneens,Eens,Neutraal,Helemaal Eens,Helemaal Eens,Eens,Helemaal Eens,Eens,Eens,Eens,Eens,Neutraal,5
2003,Man,WO Bachelor,Buitenpost,Landelijk,Eens,Helemaal eens,Oneens,Neutraal,Eens,Eens,Neutraal,Eens,Eens,Eens,Neutraal,Helemaal oneens,Oneens,Oneens,Oneens,Oneens,Oneens,Oneens,Neutraal,Eens,Eens,Neutraal,Eens,Eens,Eens,Oneens,Oneens,Eens,Oneens,Neutraal,5
2002,Man,WO Bachelor,Jubbeg,"Anders, namelijk",Oneens,Helemaal eens,Oneens,Neutraal,Eens,Eens,Oneens,Eens,Helemaal Eens,Neutraal,Oneens,Eens,Eens,Helemaal eens,Neutraal,Oneens,Neutraal,Oneens,Neutraal,Eens,Eens,Oneens,Eens,Helemaal Eens,Neutraal,Helemaal Eens,Oneens,Eens,Neutraal,Neutraal,5
2003,Man,HBO,Groningen,Stedelijk,Oneens,Helemaal eens,Eens,Oneens,Oneens,Eens,Eens,Oneens,Eens,Eens,Eens,Neutraal,Eens,Neutraal,Eens,Oneens,Eens,Oneens,Oneens,Oneens,Eens,Eens,Oneens,Eens,Eens,Oneens,Oneens,Oneens,Oneens,Oneens,5
1999,Vrouw,WO Bachelor,Friesland,Landelijk,Eens,Helemaal eens,Oneens,Neutraal,Oneens,Eens,Oneens,Eens,Eens,Oneens,Eens,,,,,,,,Neutraal,Oneens,Eens,Oneens,Eens,Eens,Oneens,,,,,,5
2001,Vrouw,HBO,Wijnjewoude,Landelijk,Eens,Helemaal eens,Oneens,Neutraal,Oneens,Helemaal Eens,,,,,,Oneens,Eens,Helemaal eens,Oneens,Oneens,Oneens,Oneens,Neutraal,Oneens,Helemaal Eens,,,,,Helemaal Eens,Oneens,Eens,Eens,Eens,5
2003,Vrouw,WO Bachelor,Groningen,Stedelijk,Helemaal oneens,Helemaal eens,Helemaal oneens,Neutraal,Neutraal,Helemaal Eens,Helemaal oneens,Eens,Eens,Eens,Neutraal,Oneens,Helemaal eens,Eens,Helemaal eens,Oneens,Eens,Eens,Neutraal,Neutraal,Helemaal Eens,Helemaal oneens,Eens,Eens,Eens,Helemaal Eens,Eens,Eens,Eens,Helemaal Eens,5
2002,Vrouw,HBO,Groningen,Stedelijk,Oneens,Helemaal eens,Neutraal,Eens,Eens,Eens,Helemaal Eens,Helemaal Eens,Eens,Helemaal Eens,Helemaal Eens,Eens,Oneens,Oneens,Neutraal,Oneens,Oneens,Oneens,Eens,Eens,Helemaal Eens,Helemaal Eens,Eens,Helemaal Eens,Helemaal Eens,Neutraal,Oneens,Eens,Oneens,,5
2004,Vrouw,HBO,Assen,Stedelijk,Oneens,Helemaal eens,Oneens,Oneens,Oneens,Eens,Eens,Eens,Eens,Oneens,Eens,Oneens,Eens,Neutraal,Oneens,Oneens,Oneens,Helemaal oneens,Oneens,Eens,Eens,Eens,Eens,Oneens,Eens,Helemaal oneens,Helemaal oneens,Eens,Neutraal,Oneens,5
2004,Vrouw,HBO,Ravenswoud,Landelijk,Eens,Helemaal eens,Neutraal,Eens,Eens,Eens,Eens,Eens,Eens,Neutraal,Eens,Oneens,Eens,Eens,Eens,Oneens,Oneens,Oneens,Eens,Eens,Eens,Eens,Eens,Neutraal,Eens,Oneens,Oneens,Eens,Eens,Oneens,5
2002,Vrouw,WO Master,Heerenveen,Stedelijk,Neutraal,Eens,Neutraal,Oneens,Oneens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Oneens,Eens,Oneens,Oneens,Oneens,Eens,Eens,Eens,Eens,Eens,Eens,Helemaal Eens,Oneens,Helemaal Eens,Neutraal,Neutraal,5
2002,Vrouw,WO Bachelor,Groningen,Stedelijk,Oneens,Helemaal eens,Oneens,Oneens,Oneens,Helemaal oneens,Eens,Eens,Eens,Eens,Neutraal,Oneens,Helemaal oneens,Helemaal oneens,Oneens,Neutraal,Neutraal,Oneens,Oneens,Helemaal oneens,Eens,Eens,Eens,Eens,Neutraal,Helemaal Eens,Oneens,Helemaal oneens,Helemaal oneens,,5
2000,Vrouw,HBO,Haarlem,Stedelijk,Eens,Helemaal eens,Oneens,Eens,Oneens,Eens,Eens,Eens,Helemaal Eens,Oneens,Eens,Oneens,Eens,Oneens,Eens,Oneens,Oneens,Helemaal oneens,Eens,Eens,Eens,Helemaal Eens,Oneens,Eens,Oneens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Oneens,Helemaal Eens,5
2001,Vrouw,WO Bachelor,Den Bosch,Stedelijk,Eens,Eens,Oneens,Helemaal eens,Helemaal eens,Helemaal Eens,Helemaal Eens,Helemaal Eens,Oneens,Helemaal Eens,Helemaal Eens,Oneens,Eens,Eens,Neutraal,Neutraal,Neutraal,Neutraal,Helemaal Eens,Helemaal Eens,Oneens,Eens,Eens,Neutraal,Neutraal,Eens,Oneens,Eens,Neutraal,Oneens,5
1998,Vrouw,WO Bachelor,Jubbega,Landelijk,Oneens,Helemaal eens,Oneens,Neutraal,Oneens,Eens,Oneens,Eens,Eens,Neutraal,Oneens,Neutraal,Eens,Oneens,Eens,Oneens,Eens,Oneens,Neutraal,Oneens,Neutraal,Eens,Oneens,Eens,Oneens,Eens,Oneens,Eens,Neutraal,Neutraal,5
2004,Man,WO Bachelor,Groningen,Stedelijk,Oneens,Helemaal eens,Oneens,Oneens,Neutraal,Eens,Neutraal,Eens,Neutraal,Eens,Neutraal,Helemaal eens,Oneens,Oneens,Neutraal,Eens,Neutraal,Eens,Neutraal,Eens,Neutraal,Helemaal eens,Oneens,Oneens,Neutraal,Eens,Neutraal,Eens,Neutraal,Eens,5
1998,Man,WO Master,Groningen,Stedelijk,Eens,Eens,Eens,Eens,Eens,Enigszins oneens,Enigszins eens,Eens,Enigszins oneens,Oneens,Enigszins eens,Enigszins oneens,Eens,Eens,Enigszins eens,Eens,Eens,Eens,Eens,Eens,Oneens,Oneens,Enigszins oneens,Enigszins oneens,Eens,Eens,Enigszins oneens,Eens,Eens,Enigszins eens,7
2003,Vrouw,HBO,Groningen,Stedelijk,Enigszins eens,Helemaal eens,Eens,Eens,Enigszins eens,Enigszins oneens,Helemaal eens,Enigszins eens,Eens,Eens,Eens,Enigszins eens,Helemaal eens,Helemaal eens,Eens,Helemaal eens,Helemaal eens,Helemaal eens,,Helemaal eens,Enigszins eens,Eens,Eens,Helemaal eens,Eens,Helemaal eens,Eens,Enigszins oneens,Enigszins oneens,Helemaal eens,7
2002,Vrouw,HBO,Smilde,Landelijk,Neutraal,Eens,Enigszins oneens,Eens,Enigszins eens,Enigszins eens,Helemaal eens,Eens,Eens,Oneens,Eens,Oneens,Eens,Neutraal,Helemaal eens,Eens,Eens,Enigszins eens,Eens,Eens,Neutraal,Eens,Neutraal,Enigszins eens,Eens,Oneens,Helemaal eens,Enigszins eens,Enigszins oneens,Eens,7
1999,Man,WO Master,Groningen,Stedelijk,Enigszins eens,Eens,Neutraal,Enigszins eens,Enigszins eens,Enigszins oneens,Enigszins eens,Enigszins eens,Neutraal,Enigszins oneens,Enigszins eens,Enigszins eens,Eens,Eens,Helemaal eens,Eens,Eens,Eens,Eens,Helemaal eens,Eens,Eens,Helemaal eens,Eens,Eens,Helemaal eens,Enigszins oneens,Enigszins eens,Eens,Enigszins eens,7
2003,Man,WO Bachelor,Assen,Stedelijk,Eens,Helemaal eens,Enigszins eens,Eens,Eens,Enigszins eens,Eens,Eens,Neutraal,Neutraal,Eens,Neutraal,Eens,Eens,Eens,Eens,Enigszins eens,Neutraal,Eens,Enigszins oneens,Enigszins oneens,Enigszins eens,Oneens,Eens,Eens,Eens,Oneens,Eens,Enigszins oneens,Enigszins oneens,7
2003,Vrouw,HBO,Assen,Stedelijk,Eens,Helemaal eens,Oneens,Enigszins eens,Enigszins oneens,Helemaal oneens,Eens,Eens,Enigszins oneens,Helemaal oneens,Enigszins eens,Oneens,Helemaal eens,Enigszins oneens,Neutraal,Eens,Eens,Enigszins oneens,Enigszins oneens,Helemaal eens,Helemaal eens,Eens,Neutraal,Enigszins eens,Helemaal eens,Enigszins eens,Enigszins oneens,Eens,,Helemaal eens,7
1998,Man,HBO,Utrecht,Stedelijk,Oneens,Enigszins eens,Oneens,Oneens,Oneens,Enigszins oneens,Eens,Eens,Eens,Eens,Neutraal,Neutraal,Helemaal eens,Eens,Eens,Enigszins eens,Enigszins eens,Oneens,Enigszins eens,Eens,Enigszins eens,Eens,Enigszins eens,Oneens,Eens,Oneens,Oneens,Eens,Oneens,Eens,7
1999,Man,WO Master,Utrecht,Stedelijk,Eens,Helemaal eens,Enigszins eens,Enigszins oneens,Enigszins eens,Oneens,Eens,Eens,Eens,Eens,Eens,Enigszins eens,Eens,Eens,Helemaal eens,Enigszins eens,Helemaal eens,Eens,Eens,Helemaal eens,Enigszins oneens,Enigszins eens,Enigszins eens,Eens,Enigszins eens,Oneens,Enigszins eens,Oneens,Oneens,Eens,7
1998,Man,HBO,Assen,Stedelijk,Helemaal oneens,Helemaal oneens,Helemaal oneens,Helemaal oneens,Helemaal oneens,Helemaal oneens,Enigszins eens,Enigszins eens,Neutraal,Neutraal,Enigszins oneens,Enigszins oneens,Helemaal eens,Helemaal eens,Helemaal eens,Oneens,Helemaal eens,Helemaal eens,Helemaal oneens,Helemaal eens,Helemaal eens,Helemaal eens,Helemaal eens,Helemaal eens,Helemaal eens,Helemaal oneens,Helemaal oneens,Helemaal eens,Helemaal oneens,Helemaal eens,7
1997,Vrouw,WO Master,Kerkdriel,Landelijk,Enigszins oneens,Enigszins eens,Oneens,Enigszins eens,Helemaal eens,Helemaal eens,Enigszins oneens,Enigszins oneens,Enigszins eens,Neutraal,Enigszins eens,Enigszins eens,Helemaal eens,Helemaal eens,Helemaal eens,Enigszins eens,Enigszins eens,Enigszins eens,Helemaal eens,Enigszins eens,Enigszins eens,Enigszins oneens,Enigszins oneens,Helemaal oneens,Enigszins oneens,Eens,Eens,Oneens,Helemaal eens,Helemaal oneens,7
2005,Vrouw,,Assen,Stedelijk,Enigszins oneens,Eens,Oneens,Enigszins eens,Enigszins eens,Oneens,Eens,Enigszins eens,Neutraal,Enigszins oneens,Enigszins oneens,Enigszins oneens,Helemaal eens,Eens,Eens,Enigszins eens,Helemaal eens,Helemaal eens,Eens,Helemaal eens,Enigszins eens,Helemaal eens,Enigszins eens,Eens,Eens,Enigszins eens,Oneens,Eens,Oneens,Eens,7
2002,Man,WO Bachelor,Delft,Stedelijk,Enigszins eens,Helemaal eens,Oneens,Enigszins eens,Eens,Enigszins eens,Eens,Enigszins eens,Enigszins eens,Oneens,Enigszins eens,Oneens,Helemaal eens,Eens,Helemaal eens,Enigszins oneens,Eens,Eens,Helemaal eens,Oneens,Enigszins eens,Enigszins eens,Enigszins oneens,Oneens,Eens,Enigszins eens,Helemaal eens,Enigszins oneens,Enigszins oneens,Oneens,7
2003,Vrouw,WO Bachelor,Groningen,Stedelijk,Oneens,Helemaal eens,Oneens,Oneens,Oneens,Enigszins oneens,Helemaal eens,Eens,Enigszins eens,Neutraal,Enigszins eens,Enigszins oneens,Enigszins eens,Enigszins eens,Helemaal eens,Helemaal eens,Helemaal eens,Enigszins eens,Oneens,Helemaal eens,Enigszins eens,Helemaal eens,Eens,Eens,Helemaal eens,Oneens,Oneens,Helemaal eens,Enigszins eens,Eens,7
1999,Man,HBO,Arnhem,Stedelijk,Oneens,Eens,Enigszins oneens,Neutraal,Enigszins oneens,Enigszins eens,Neutraal,Neutraal,Oneens,Helemaal oneens,Oneens,Helemaal oneens,Enigszins eens,Enigszins oneens,Eens,Helemaal eens,Enigszins eens,Enigszins oneens,Neutraal,Neutraal,Oneens,Neutraal,Oneens,Oneens,Neutraal,Enigszins eens,Neutraal,Neutraal,Enigszins eens,Enigszins oneens,7
1998,Man,WO Bachelor,,Stedelijk,Helemaal eens,Eens,Oneens,Eens,Helemaal eens,Neutraal,Eens,Enigszins eens,Eens,Enigszins eens,Neutraal,Oneens,Helemaal eens,Helemaal eens,Eens,Helemaal oneens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Eens,Oneens,Neutraal,Eens,Enigszins eens,Eens,7
1997,Vrouw,WO Master,De granatenghetto genaamd Kerkdriel,Landelijk,Eens,Eens,Eens,Enigszins eens,Eens,Enigszins oneens,Eens,Neutraal,Neutraal,Enigszins eens,Eens,Enigszins eens,Eens,Eens,Eens,Neutraal,Eens,Eens,Helemaal eens,Eens,Enigszins eens,Neutraal,Neutraal,Neutraal,Eens,Neutraal,Enigszins oneens,Eens,Enigszins oneens,Eens,7
1999,Vrouw,WO Master,Den Bosch,Stedelijk,Neutraal,Enigszins eens,Enigszins eens,Neutraal,Neutraal,Neutraal,Enigszins eens,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Eens,Eens,Enigszins eens,Enigszins eens,Enigszins eens,Enigszins eens,Enigszins eens,Enigszins eens,Neutraal,Enigszins eens,Enigszins eens,Enigszins eens,Neutraal,Neutraal,Neutraal,Neutraal,Enigszins eens,Neutraal,7
2003,Vrouw,HBO,,Landelijk,Oneens,Eens,Helemaal oneens,Neutraal,Neutraal,Oneens,Enigszins eens,Enigszins eens,Enigszins oneens,Neutraal,Oneens,Oneens,Eens,Eens,Neutraal,Eens,Enigszins eens,Enigszins eens,Enigszins eens,Oneens,Eens,Helemaal eens,Oneens,Oneens,Eens,Eens,Oneens,Eens,Oneens,Eens,7
2003,Vrouw,WO Bachelor,Oosterwolde,Landelijk,Enigszins eens,Helemaal eens,Enigszins eens,Eens,Eens,Enigszins eens,Helemaal eens,Helemaal eens,Enigszins eens,Enigszins oneens,Enigszins eens,Oneens,Helemaal eens,Helemaal eens,Eens,Eens,Eens,Eens,Eens,Enigszins oneens,Enigszins eens,Neutraal,Neutraal,Enigszins oneens,Helemaal eens,Eens,Eens,Neutraal,Enigszins eens,Neutraal,7
